id,nome,local,palavra,ano,imagem,camadas,contexto,criacao,funcao,transformacoes,status,observacao,descricao,observar,pergunta,video,idade_camadas
mucane,Museu Capixaba do Negro - MUCANE,Centro de Vitória - ES,REOCUPAÇÃO,1993,mucane,1912: construção do edifício → 1993: criação do museu → 2011: institucionalização do MUCANE pela PMV,Reocupação de edifício não negro como território institucional negro.,Cel. Francisco Schwab (edifício) / Movimento Negro + Governo ES (museu),Residência e comércio,Residência → correios → museu.,Equipamento cultural social,"O território negro nasce da ocupação, não da origem da construção.","Edifício construído em 1912 que, após diferentes usos, tornou-se sede do Museu Capixaba do Negro. Sua presença marca a entrada da questão racial na agenda institucional da cidade.",A estrutura original do edifício e seus usos anteriores | A passagem de espaço privado para território negro institucional | As marcas da ocupação cultural e comunitária,Como um prédio muda de sentido quando passa a abrigar memória negra?,,"[{""ano"": 1912, ""label"": ""do edifício""}]"
praca,Praça Costa Pereira,Centro de Vitória - ES,RECONFIGURAÇÃO,1926,praca-costa-pereira,1755: Largo da Igreja da Conceição → 1895: Teatro Melpômene → 1926: Praça Costa Pereira,Espaço de sociabilidade com presença negra histórica.,Engenheiro Moacir Avidos,Residencial cultural → equipamento urbano,Ancoradouro de pescadores → teatro → praça.,Praça central,Presença negra apagada na narrativa oficial.,"Antigo Largo da Conceição, espaço central ligado à circulação, comércio, práticas religiosas e presença negra em atividades de trabalho e sociabilidade.",A função atual da praça no cotidiano urbano | A ausência de referências à presença negra | Quem ocupa o espaço e como ele é utilizado,O que esta praça mostra e o que ela esconde?,,[]
dona,Estátua de Dona Domingas,Centro de Vitória - ES,MEMÓRIA,1973,dona-domingas,1971–1973: construção do monumento,Homenagem à mulher negra trabalhadora.,Escultor Carlo Crepaz,Monumento simbólico a Dona Domingas,Pouca valorização ao longo do tempo.,Monumento invisibilizado,Sem identificação adequada e sem manutenção constante.,"Monumento que torna visível a presença simbólica de uma mulher negra trabalhadora no espaço urbano, em contraste com as estruturas de poder ao redor.",A posição da estátua em relação ao Palácio Anchieta | A presença ou ausência de identificação pública | O corpo negro feminino no espaço institucional,Quem a cidade escolhe homenagear e quem ela tenta esquecer?,,[]
chafariz,Chafariz da Capichaba,Centro de Vitória - ES,INSISTÊNCIA,1828,chafariz-capichaba,1828: construção do Chafariz da Capichaba,Infraestrutura urbana.,Administração colonial,Abastecimento de água da cidade,Uso funcional → patrimônio arquitetônico.,Preservado,Trabalho negro invisível e local de socialização de negros escravizados.,"Construído em 1828, foi o primeiro chafariz da cidade e teve papel central no abastecimento de água, articulando trabalho, circulação e sociabilidade da população negra.","O chafariz como antiga infraestrutura urbana | A relação entre água, trabalho e presença negra | A diferença entre função original e uso atual",Que corpos sustentaram a cidade antes de serem invisibilizados?,,[]
rua13,Rua 13 de Maio,Centro de Vitória - ES,APAGAMENTO,,rua-13-maio,Período colonial: Rua do Piolho → mudança de nome para Rua 13 de Maio,Espaço de moradia negra.,Poder Público,Moradia e trabalho,Mudança de nome.,Rua ativa,"Nome não altera estrutura histórica. A idade é aproximada, considerando a cidade colonial como referência.","Antiga Rua do Piolho, ligada à presença negra na cidade colonial, associada à circulação, trabalho e permanência de populações escravizadas e libertas.",A ausência de marcas físicas do passado escravista | O contraste entre o nome da rua e sua configuração atual | A relação entre memória oficial e memória apagada,"Quando a liberdade vira nome de rua, o que permanece invisível?",,"[{""ano"": 1700, ""label"": ""como território urbano de origem colonial""}]"
vilarubim,Vila Rubim – Mercado da Vila Rubim,Centro de Vitória - ES,CONTINUIDADE,1928,vila-rubim,"1928: inauguração do mercado, marcando a história econômica e cultural da região","Local de despejo de dejetos pelos enfezados e espaço de moradia, comércio e socialização da população negra.",Poder Público,"Serviços, moradia, comércio e socialização",Continuidade.,Área ativa,Presença negra persistente.,"Local de comércio popular e abrigo histórico da população negra segregada do centro, com presença de produtos ligados a ritos afro-brasileiros.","Área de aterro | Presença de produtos religiosos afro-brasileiros | Comerciantes negros, pretos e pardos",Como um território permanece vivo mesmo sem se anunciar oficialmente?,,[]
moscoso,Parque Moscoso,Centro de Vitória - ES,CONTINUIDADE,1912,parque-moscoso,1908–1912: aterro urbano e formação do Parque Moscoso,"Área de despejo de dejetos pelos enfezados, aterro urbano e parque.",Poder público,Serviço e socialização,Reconfiguração urbana.,Parque,Apagamento de usos anteriores.,"Território reconfigurado como parque e lazer, mas que guarda memórias de descarte urbano, aterro e trabalho invisibilizado de trabalhadores negros.",A paisagem organizada que encobre usos anteriores | A coexistência entre espaço civilizado e permanências invisibilizadas | O contraste entre estética atual e história inscrita no chão,Que história permanece no chão mesmo depois da remodelação?,,[]
grilhoes,Quebra dos Grilhões - Monumento aos 100 anos da abolição da escravatura,Centro de Vitória - ES,APAGAMENTO,1988,quebra-grilhoes,13 de maio de 1988: Memorial do Centenário da Abolição,Monumento vinculado à memória da abolição da escravatura.,Ioannes Zavoudákis,Monumento/memorial,"A memória foi fixada no monumento, mas pouco ativada no cotidiano urbano.",Monumento em espaço urbano de passagem,"O monumento existe, mas não necessariamente convida à permanência, à leitura ou à reflexão.","Monumento vinculado à memória da abolição da escravatura, cuja presença material marca o espaço urbano, mas nem sempre ativa a reflexão pública sobre a história negra.",Se o espaço convida à parada ou não | A relação entre monumento e fluxo urbano | O silêncio em torno da memória,O monumento ativa a memória ou apenas a fixa?,,[]
mariasaraiva,Rua Maria Saraiva,Centro de Vitória - ES,CONTINUIDADE,1938,maria-saraiva,Século XIX: atuação de Maria Saraiva como quituteira/doceira → 1938: atribuição de seu nome a uma rua no Centro,"Homenagem a Maria Saraiva, mulher negra, ex-escravizada e doceira que atuou em Vitória - ES.",Prefeito Américo Poli Monjardim,Via urbana; lugar de preservação simbólica da memória de Maria Saraiva,A rua passa a guardar a memória de uma mulher negra cuja trajetória não aparece materialmente na paisagem.,Rua ativa no Centro de Vitória - ES; atualmente associada também ao Bar da Zilda.,A presença de Maria Saraiva permanece mais pelo nome do que por vestígios físicos no espaço.,"Rua nomeada em homenagem a Maria Saraiva, mulher negra, ex-escravizada e doceira que atuou em Vitória - ES. Sua memória permanece inscrita na toponímia urbana.",A ausência de vestígios materiais da trajetória de Maria Saraiva | A toponímia como forma de preservação da memória | A continuidade de práticas culturais negras no espaço,Como um nome pode guardar uma presença que a paisagem já não mostra?,,[]
zilda,Bar da Zilda,Centro de Vitória - ES,SOCIABILIDADE,1997,bar-zilda,Trajetória de mais de duas décadas como reduto de samba raiz em Vitória - ES,"Espaço de sociabilidade, samba, culinária e cultura popular ligado à trajetória de Zilda Antônio de Aquino.",Zilda Antônio de Aquino,Bar / comércio,"De espaço comercial passa a território cultural de samba, encontro e permanência.",Espaço cultural e de sociabilidade negra,"O território se constitui pela prática cotidiana: música, comida, encontro e continuidade cultural.","Reduto de samba raiz e sociabilidade popular, articulando música, culinária, encontro e permanência de práticas culturais negras.","As rodas de samba como ocupação do espaço | A relação entre cultura, alimentação e sociabilidade | Os diferentes públicos e formas de apropriação do lugar",Quando um bar deixa de ser comércio e passa a ser território?,,[]
